language,year,creator,first_release,typing_discipline,paradigm,github_repositories,stackoverflow_questions,tiobe_rank,pypl_rank,github_stars,average_salary_usd,learning_difficulty,performance_score,ai_popularity_score,web_development_score,data_science_score,mobile_score,game_dev_score,embedded_score,demand_score
Objective-C,2024,Brad Cox & Tom Love,1984,Static,Object-Oriented,26197,17534,25,26,4290,117487.58,6.19,72.28,3.19,1.0,3.62,42.54,3.92,6.68,17.36
Haskell,2024,Simon Peyton Jones et al. (committee),1990,Static,Purely Functional,22718,16184,26,24,3736,129278.75,7.61,85.41,4.52,5.52,14.72,1.0,1.0,7.26,18.79
Groovy,2024,James Strachan,2003,Dynamic,"Multi-paradigm (OOP, Functional, Scripting)",17814,13202,27,28,3353,115334.49,4.4,59.98,1.0,13.33,5.29,1.0,1.0,1.0,19.2
Clojure,2024,Rich Hickey,2007,Dynamic,Functional,13814,10300,28,29,2443,134301.41,6.38,65.8,9.32,12.4,4.06,1.37,1.0,1.34,22.72
F#,2024,Microsoft (Don Syme),2005,Static,"Functional-first, Multi-paradigm",11473,8006,29,27,1973,121148.25,6.83,77.72,10.06,11.21,14.55,1.0,3.83,1.0,19.35
Python,2025,Guido van Rossum,1991,Dynamic,"Multi-paradigm (OOP, Functional, Procedural)",277522,210464,1,1,49998,141124.7,2.9,44.27,96.6,53.29,100.0,17.5,18.76,11.83,52.44
TypeScript,2025,Microsoft (Anders Hejlsberg),2012,Static,"Multi-paradigm (OOP, Functional)",205793,144196,2,2,33165,146403.13,4.33,54.38,53.64,99.36,39.17,36.29,36.54,1.95,38.09
JavaScript,2025,Brendan Eich,1995,Dynamic,"Multi-paradigm (Event-driven, Functional, Prototype-based)",232076,173074,3,3,39531,125363.15,3.54,52.61,59.71,92.89,33.69,41.32,55.64,4.53,35.23
SQL,2025,Donald D. Chamberlin & Raymond F. Boyce,1974,Static,Declarative,227449,144071,4,4,44310,115909.68,2.58,55.49,17.32,29.72,58.51,5.33,1.0,6.59,21.91
Java,2025,James Gosling,1995,Static,Object-Oriented,189213,131253,5,5,33917,136180.34,5.35,71.59,37.45,55.05,40.32,58.43,33.37,17.22,24.31
C#,2025,Microsoft (Anders Hejlsberg),2000,Static,"Multi-paradigm (OOP, Functional, Event-driven)",155030,118856,6,6,27000,126526.73,4.62,76.57,20.8,44.67,13.18,28.54,76.93,12.91,24.9
C++,2025,Bjarne Stroustrup,1985,Static,"Multi-paradigm (OOP, Procedural, Generic)",184856,123588,7,7,33356,141671.94,7.49,95.52,17.69,9.36,27.39,12.19,85.75,79.21,24.43
Go,2025,"Robert Griesemer, Rob Pike, Ken Thompson",2009,Static,"Procedural, Concurrent",130458,91170,8,8,23395,160192.3,3.42,82.44,19.25,60.71,17.55,6.36,1.0,30.33,36.15
C,2025,Dennis Ritchie,1972,Static,Procedural,159034,115083,9,11,28078,131504.78,7.03,98.24,1.4,9.42,6.15,6.39,33.37,96.86,20.58
Rust,2025,Graydon Hoare,2010,Static,"Multi-paradigm (Functional, Concurrent, Generic)",114621,81213,10,10,16582,172252.08,6.62,95.32,21.81,32.82,4.23,4.77,30.34,72.23,33.1
Shell (Bash),2025,Brian Fox,1989,Dynamic,"Scripting, Procedural",141480,105625,11,12,27489,104969.97,3.02,54.51,2.32,9.93,17.29,1.0,5.11,50.93,12.61
Kotlin,2025,JetBrains,2011,Static,"Multi-paradigm (OOP, Functional)",82916,65370,12,13,14136,157130.1,4.48,69.93,4.13,29.99,6.63,95.72,10.52,1.0,23.05
PHP,2025,Rasmus Lerdorf,1995,Dynamic,"Multi-paradigm (Procedural, OOP)",109026,80281,13,14,18735,99455.16,2.79,42.63,6.72,87.79,5.44,2.01,7.89,1.0,13.51
Swift,2025,Apple (Chris Lattner),2014,Static,"Multi-paradigm (OOP, Functional, Protocol-oriented)",68572,54941,14,15,10487,155331.37,4.72,71.09,7.01,10.6,6.64,94.97,21.78,9.39,30.46
R,2025,Ross Ihaka & Robert Gentleman,1993,Dynamic,"Functional, Procedural",82986,54843,15,9,14786,118031.49,4.07,39.25,66.77,3.99,95.75,1.0,2.41,8.65,31.52
Ruby,2025,Yukihiro Matsumoto,1995,Dynamic,Object-Oriented,70070,45007,16,18,12842,125912.48,2.99,43.48,1.0,61.81,6.21,2.1,1.0,5.1,17.91
Dart,2025,Google (Lars Bak & Kasper Lund),2011,Static,"Multi-paradigm (OOP, Functional)",46820,34528,17,20,8082,137426.54,4.05,59.02,3.06,22.03,1.0,81.43,6.9,1.0,24.75
MATLAB,2025,Cleve Moler,1984,Dynamic,"Array/Matrix-based, Procedural",62264,44827,18,17,12410,129677.15,3.94,52.93,21.01,1.0,52.63,1.0,7.04,19.58,23.42
Lua,2025,"Roberto Ierusalimschy, Luiz H. de Figueiredo, Waldemar Celes",1993,Dynamic,"Procedural, Scripting",47670,32612,19,21,8854,107636.08,3.19,65.07,2.4,2.65,2.04,13.52,54.01,34.76,11.81
Scala,2025,Martin Odersky,2004,Static,"Multi-paradigm (OOP, Functional)",37694,26006,20,19,6944,146423.77,6.39,78.84,14.49,12.88,31.79,4.2,3.58,1.0,24.96
Perl,2025,Larry Wall,1987,Dynamic,"Procedural, Scripting",33839,26436,21,22,5165,113845.15,5.4,58.99,1.0,9.03,5.21,1.0,5.68,9.29,20.05
Julia,2025,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman",2012,Dynamic,"Multi-paradigm (Functional, Procedural)",24506,20240,22,16,4462,133884.52,5.17,74.24,49.58,1.0,73.79,1.0,1.38,1.0,25.94
Elixir,2025,José Valim,2011,Dynamic,"Functional, Concurrent",23511,18743,23,24,3876,132783.8,5.69,64.81,6.83,26.8,1.0,3.0,5.39,3.28,20.38
VB.NET,2025,Microsoft,2002,Static,"Object-Oriented, Event-driven",23920,18979,24,25,4623,104783.95,3.48,58.68,1.0,8.84,3.2,4.7,1.0,2.04,19.83
Haskell,2025,Simon Peyton Jones et al. (committee),1990,Static,Purely Functional,24214,16076,25,23,4021,139478.97,8.1,88.83,4.5,3.15,18.99,1.0,2.18,8.69,20.28
Objective-C,2025,Brad Cox & Tom Love,1984,Static,Object-Oriented,19269,16570,26,29,3732,122630.75,6.01,75.53,3.68,1.0,1.0,34.29,4.87,3.03,21.01
Groovy,2025,James Strachan,2003,Dynamic,"Multi-paradigm (OOP, Functional, Scripting)",17111,11937,27,28,3339,124011.15,4.49,60.18,7.11,17.79,1.38,7.41,6.86,1.0,16.37
Clojure,2025,Rich Hickey,2007,Dynamic,Functional,16287,10486,28,26,2583,133987.48,6.49,66.19,5.37,9.85,16.33,1.0,1.0,1.0,20.43
F#,2025,Microsoft (Don Syme),2005,Static,"Functional-first, Multi-paradigm",12277,7665,29,27,2010,141586.05,6.97,81.68,6.47,3.06,15.72,1.0,1.0,1.0,19.45
Python,2026,Guido van Rossum,1991,Dynamic,"Multi-paradigm (OOP, Functional, Procedural)",311682,221399,1,1,56477,144721.19,2.78,42.35,100.0,57.66,100.0,13.31,19.68,3.25,52.77
TypeScript,2026,Microsoft (Anders Hejlsberg),2012,Static,"Multi-paradigm (OOP, Functional)",250287,170318,2,2,37764,148260.58,4.52,54.94,47.89,100.0,31.57,28.83,34.59,3.99,29.18
JavaScript,2026,Brendan Eich,1995,Dynamic,"Multi-paradigm (Event-driven, Functional, Prototype-based)",258481,191568,3,3,43876,129161.33,3.72,47.79,64.16,92.53,40.2,41.89,54.28,3.47,34.06
Java,2026,James Gosling,1995,Static,Object-Oriented,211355,157163,4,5,31951,131780.66,4.79,67.38,31.22,48.59,31.82,56.76,32.1,16.11,28.43
SQL,2026,Donald D. Chamberlin & Raymond F. Boyce,1974,Static,Declarative,230046,150447,5,4,42932,119212.23,2.43,54.38,14.48,31.92,61.63,1.0,4.15,1.82,27.82
Go,2026,"Robert Griesemer, Rob Pike, Ken Thompson",2009,Static,"Procedural, Concurrent",156770,115990,6,6,26521,164785.16,3.49,88.6,20.08,53.93,16.59,5.24,1.0,29.8,35.24
C#,2026,Microsoft (Anders Hejlsberg),2000,Static,"Multi-paradigm (OOP, Functional, Event-driven)",179529,121952,7,7,34420,133105.63,4.92,74.13,17.14,46.55,19.33,38.27,77.5,20.01,23.71
C++,2026,Bjarne Stroustrup,1985,Static,"Multi-paradigm (OOP, Procedural, Generic)",203869,142379,8,8,32136,144245.87,7.8,92.65,11.64,1.0,25.37,8.82,80.71,87.86,24.31
Rust,2026,Graydon Hoare,2010,Static,"Multi-paradigm (Functional, Concurrent, Generic)",138482,88943,9,9,24566,176712.19,6.5,98.45,20.95,29.53,2.17,4.95,29.12,74.59,38.26
C,2026,Dennis Ritchie,1972,Static,Procedural,181051,145009,10,11,31468,133677.51,7.06,95.3,3.7,5.37,12.32,4.77,34.32,94.88,24.69
Shell (Bash),2026,Brian Fox,1989,Dynamic,"Scripting, Procedural",147215,96447,11,12,24124,111625.32,2.93,56.54,4.17,6.11,12.96,4.28,11.41,53.5,19.82
Kotlin,2026,JetBrains,2011,Static,"Multi-paradigm (OOP, Functional)",99579,66110,12,13,15971,151546.84,4.44,67.17,4.9,30.89,7.47,86.1,5.83,9.42,27.49
PHP,2026,Rasmus Lerdorf,1995,Dynamic,"Multi-paradigm (Procedural, OOP)",100910,69769,13,14,21295,109531.11,2.85,44.83,1.0,83.35,3.55,1.0,1.0,1.53,11.12
Swift,2026,Apple (Chris Lattner),2014,Static,"Multi-paradigm (OOP, Functional, Protocol-oriented)",71188,53561,14,15,14179,153089.0,4.53,74.64,6.94,9.21,1.0,94.48,13.63,6.35,34.99
R,2026,Ross Ihaka & Robert Gentleman,1993,Dynamic,"Functional, Procedural",85943,64056,15,10,13176,125272.81,4.14,36.97,60.08,3.48,96.71,1.0,6.31,5.98,35.66
Dart,2026,Google (Lars Bak & Kasper Lund),2011,Static,"Multi-paradigm (OOP, Functional)",56490,39111,16,19,10768,139453.67,3.88,58.74,1.49,26.84,11.07,75.38,10.28,1.0,19.22
Ruby,2026,Yukihiro Matsumoto,1995,Dynamic,Object-Oriented,75760,49148,17,18,12429,123527.83,3.22,39.25,5.85,61.66,7.65,7.6,4.37,8.15,20.77
MATLAB,2026,Cleve Moler,1984,Dynamic,"Array/Matrix-based, Procedural",74230,48248,18,17,12452,125174.61,3.8,47.15,16.27,1.0,56.84,4.95,5.16,14.85,16.69
Lua,2026,"Roberto Ierusalimschy, Luiz H. de Figueiredo, Waldemar Celes",1993,Dynamic,"Procedural, Scripting",47663,34606,19,21,8253,116214.22,3.29,66.31,3.94,6.9,1.0,9.33,64.17,41.57,14.11
Scala,2026,Martin Odersky,2004,Static,"Multi-paradigm (OOP, Functional)",36093,27166,20,20,6775,150917.98,6.4,77.67,9.46,18.43,35.56,1.0,1.0,1.0,26.69
Julia,2026,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman",2012,Dynamic,"Multi-paradigm (Functional, Procedural)",30380,24660,21,16,5459,145593.35,5.32,74.43,43.12,1.0,75.78,1.86,1.0,5.63,30.92
Elixir,2026,José Valim,2011,Dynamic,"Functional, Concurrent",26233,18076,22,22,4351,140053.44,5.34,65.45,4.53,28.54,2.51,1.75,4.93,1.0,24.5
Perl,2026,Larry Wall,1987,Dynamic,"Procedural, Scripting",35141,22331,23,23,6253,108693.75,5.77,62.38,1.0,18.01,5.51,10.55,1.0,9.59,12.97
VB.NET,2026,Microsoft,2002,Static,"Object-Oriented, Event-driven",22565,17355,24,24,4323,101719.97,3.51,54.66,8.77,16.97,1.57,4.22,1.92,6.79,17.82
Haskell,2026,Simon Peyton Jones et al. (committee),1990,Static,Purely Functional,23686,16368,25,25,3953,135389.84,8.09,84.01,2.58,8.07,10.1,5.64,12.43,6.47,15.88
Objective-C,2026,Brad Cox & Tom Love,1984,Static,Object-Oriented,23506,14998,26,26,3207,121815.03,6.11,71.3,4.49,5.25,1.0,32.19,2.23,11.01,20.35
Groovy,2026,James Strachan,2003,Dynamic,"Multi-paradigm (OOP, Functional, Scripting)",18626,13099,27,29,2947,125863.75,4.36,62.89,1.97,22.66,1.0,4.35,1.0,1.0,18.5
Clojure,2026,Rich Hickey,2007,Dynamic,Functional,14468,11389,28,27,2754,139969.42,6.49,69.35,1.0,8.67,7.02,1.0,5.66,1.0,14.87
F#,2026,Microsoft (Don Syme),2005,Static,"Functional-first, Multi-paradigm",12849,7970,29,28,2021,138443.58,7.1,76.34,1.65,6.22,14.06,10.83,6.57,1.0,16.43
